"word","freq"
"sede",19
"estudiantes",13
"semestre",13
"proceso",8
"bogotá",8
"admisión",7
"situación",7
"resultados",7
"admitidos",6
"recursos",4
"sedes",4
"información",4
"actual",4
"escuela",4
"diferentes",4
"tipo",4
"duda",4
"egresados",4
"palmira",4
"buenos",4
"días",4
"destino",3
"fecha",3
"computadores",3
"paneles",3
"solares",3
"dentro",3
"enfoque",3
"obra",3
"dónde",3
"obras",3
"significa",3
"edificio",3
"enfermería",3
"greiff",3
"haciendo",3
"león",3
"proyecto",3
"pueda",3
"matrícula",3
"próximo",3
"pasará",3
"pasar",3
"clases",3
"entregar",3
"covid",3
"medellín",3
"saldrán",3
"estrategias",3
"admisiones",3
"funcionarios",3
"misma",3
"cuanto",2
"cuentas",2
"rendición",2
"años",2
"inversión",2
"enviar",2
"maestría",2
"porqué",2
"dinero",2
"hizo",2
"instala",2
"manejo",2
"techos",2
"unas",2
"mismo",2
"proyectos",2
"piensan",2
"asignado",2
"ejecutar",2
"solo",2
"pasó",2
"contratistas",2
"reuniones",2
"dar",2
"convocatorias",2
"ser",2
"tener",2
"construcción",2
"junto",2
"trata",2
"ver",2
"hola",2
"momentos",2
"bueno",2
"dado",2
"descuento",2
"económica",2
"pagar",2
"precaria",2
"trabajamos",2
"virtual",2
"edificios",2
"medidas",2
"presenciales",2
"regreso",2
"campus",2
"período",2
"estudiante",2
"experiencia",2
"apoyo",2
"fondos",2
"implementar",2
"infraestructura",2
"nuevos",2
"servicios",2
"discapacidad",2
"acciones",2
"personas",2
"pronto",2
"concurso",2
"gobierno",2
"pensar",2
"programas",2
"públicas",2
"importante",2
"definitivamente",2
"prueba",2
"contratación",2
"alguien",2
"deserción",2
"peama",2
"etc",2
"ampliar",2
"cercanos",2
"ciudades",2
"determinación",2
"efectos",2
"impacto",2
"municipios",2
"pacifico",2
"distrito",2
"posición",2
"formación",2
"posgrado",2
"presencia",2
"forma",2
"paz",2
"presencial",2
"realiza",1
"anteriores",1
"cambiado",1
"funcionamiento",1
"agosto",1
"carta",1
"certificado",1
"egresada",1
"exterior",1
"iniciar",1
"límite",1
"necesito",1
"notas",1
"posible",1
"sellado",1
"cyt",1
"funcionando",1
"irse",1
"jubilar",1
"mitad",1
"salas",1
"sirven",1
"toca",1
"audiencia",1
"debiendo",1
"déficit",1
"falta",1
"funcionar",1
"junio",1
"participar",1
"presta",1
"publica",1
"queda",1
"quién",1
"saca",1
"seguir",1
"sostenimiento",1
"aguas",1
"convencional",1
"escrito",1
"exagerar",1
"excepciones",1
"iluminados",1
"lluvias",1
"líder",1
"matemáticas",1
"medicina",1
"pasillos",1
"poseer",1
"pues",1
"agua",1
"ahorradores",1
"ambiental",1
"aplica",1
"baños",1
"civil",1
"cubiertas",1
"ejemplo",1
"específico",1
"indago",1
"remodelación",1
"sistemas",1
"toda",1
"vuelve",1
"administrados",1
"cambiar",1
"entes",1
"exteriores",1
"restaurantes",1
"año",1
"decir",1
"dejaron",1
"diciembre",1
"ejecutaron",1
"gastó",1
"instancias",1
"mil",1
"millones",1
"nivel",1
"pasado",1
"plata",1
"recurso",1
"sino",1
"tampoco",1
"apoya",1
"cerca",1
"crisis",1
"dejó",1
"distrital",1
"eliminaron",1
"estampilla",1
"ocasionales",1
"profesores",1
"borrador",1
"conceptuar",1
"conoce",1
"definido",1
"definir",1
"documento",1
"expertos",1
"invirtieron",1
"pocos",1
"publicado",1
"reformas",1
"sacado",1
"utilidad",1
"viáticos",1
"aclaren",1
"afectando",1
"documentos",1
"jóvenes",1
"marco",1
"norma",1
"normas",1
"pandemia",1
"país",1
"pidieron",1
"respaldo",1
"sustente",1
"unaloficial",1
"asesoría",1
"canal",1
"homologación",1
"materias",1
"recibir",1
"cronogramas",1
"alto",1
"capacitación",1
"comenzaron",1
"convocatoria",1
"debería",1
"ganador",1
"hecho",1
"independientemente",1
"menos",1
"necesaria",1
"necesariamente",1
"necesite",1
"pbm",1
"pedir",1
"persona",1
"pmb",1
"grupos",1
"voluntariado",1
"aquellos",1
"asegurar",1
"calidad",1
"económicos",1
"garantías",1
"problemas",1
"proporcionarán",1
"sociales",1
"aplicadas",1
"carreras",1
"prácticas",1
"requerimos",1
"salud",1
"vacaciones",1
"vamos",1
"bastante",1
"cerrados",1
"deteriorados",1
"tomar",1
"cabo",1
"ciencias",1
"lado",1
"llevan",1
"torre",1
"emergencia",1
"financiando",1
"sanitaria",1
"conocer",1
"darán",1
"inicia",1
"inscripción",1
"académico",1
"articulado",1
"carga",1
"hija",1
"misión",1
"pareciera",1
"partir",1
"pregunto",1
"saludos",1
"acceder",1
"actuales",1
"concepto",1
"diseñar",1
"investigaciones",1
"mantenimiento",1
"oficial",1
"permitan",1
"productos",1
"recaudar",1
"sitio",1
"venta",1
"listados",1
"apoyos",1
"otorgará",1
"pago",1
"posgrados",1
"acompañamiento",1
"actualmente",1
"casa",1
"implementando",1
"balance",1
"hacen",1
"inclusión",1
"ingreso",1
"adquiere",1
"pasantía",1
"práctica",1
"supervisaría",1
"bajo",1
"condiciones",1
"decisión",1
"indicadores",1
"tomaron",1
"abuelos",1
"docente",1
"generacional",1
"gente",1
"ideas",1
"intocables",1
"joven",1
"jubilados",1
"llena",1
"necesita",1
"nuevas",1
"relevo",1
"capitalice",1
"creación",1
"desconectados",1
"estrategia",1
"fortalecer",1
"necesario",1
"perorado",1
"plantean",1
"políticas",1
"postgrado",1
"reflexiones",1
"relación",1
"torno",1
"totalmente",1
"acabar",1
"burocracia",1
"formalización",1
"interior",1
"planta",1
"administrativo",1
"concursos",1
"etapa",1
"levantar",1
"mérito",1
"personal",1
"períodos",1
"planea",1
"superan",1
"suspensión",1
"tras",1
"ampliando",1
"circulares",1
"gestión",1
"naturales",1
"previstas",1
"rectorales",1
"suspenda",1
"venido",1
"exámenes",1
"informar",1
"pin",1
"afectados",1
"combatir",1
"contingencia",1
"especialmente",1
"estratos",1
"mayoría",1
"paes",1
"pertenecen",1
"proyectan",1
"administrativos",1
"atención",1
"cambio",1
"compromiso",1
"considerando",1
"deseo",1
"diferencia",1
"directivas",1
"espera",1
"grandes",1
"luego",1
"muchas",1
"nadie",1
"obtenidos",1
"pertenencia",1
"previó",1
"retos",1
"señala",1
"tiempos",1
"implcaciones",1
"ésta",1
"caer",1
"clientelismos",1
"fama",1
"favorecer",1
"mala",1
"procesos",1
"empezaran",1
"mal",1
"restauraciones",1
"excelentes",1
"incentivar",1
"virtuales",1
"directrices",1
"partes",1
"responder",1
"superiores",1
"difícil",1
"egresado",1
"facilita",1
"generalmente",1
"tic",1
"utilizando",1
"implicaciones",1
"académicos",1
"cuántos",1
"desplegaron",1
"intersedes",1
"pregrado",1
"asciende",1
"consulta",1
"especial",1
"estudiantil",1
"global",1
"porcentaje",1
"saludo",1
"académicas",1
"articulación",1
"competitivos",1
"comunidades",1
"conjuntas",1
"coordinación",1
"diálogo",1
"espacios",1
"estratégicas",1
"panoramas",1
"regional",1
"universidades",1
