"word","freq"
"estudiantes",109
"semestre",108
"sede",63
"proceso",56
"situación",44
"recursos",43
"edificio",38
"clases",38
"ser",37
"comunidad",36
"personas",33
"campus",31
"puedo",31
"virtual",31
"universitaria",30
"facultad",30
"materias",30
"realizar",30
"puede",29
"hace",28
"parte",28
"dinero",28
"posgrado",27
"pregrado",27
"admisión",27
"pandemia",27
"bogotá",26
"años",25
"medellín",25
"covid",25
"posible",24
"tiempo",24
"estudiante",24
"manera",24
"buenas",24
"año",24
"programas",22
"quiero",22
"profesores",21
"artes",21
"carrera",21
"muchas",21
"actual",21
"tienda",21
"calidad",21
"información",20
"medicina",20
"presenciales",20
"solo",19
"segundo",19
"matrícula",19
"debido",19
"días",19
"procesos",19
"investigación",19
"algún",18
"proyectos",18
"cursos",18
"próximo",18
"forma",18
"construcción",17
"tipo",17
"tener",17
"haciendo",17
"hecho",17
"programa",17
"tardes",17
"volver",17
"momento",17
"periodo",17
"dentro",17
"académica",17
"día",16
"planta",16
"pueden",16
"debe",16
"cuentas",16
"nivel",16
"laboratorios",16
"cuarentena",16
"medidas",16
"nuevo",15
"inversión",15
"docentes",15
"estrategias",15
"edificios",15
"buenos",15
"apoyo",15
"facultades",15
"siguiente",15
"sedes",15
"pasar",15
"ejemplo",14
"plan",14
"hacen",14
"ciencias",14
"país",14
"cabo",14
"después",14
"respuesta",14
"rendición",14
"servicios",14
"crisis",14
"frente",14
"salud",14
"pueda",14
"presupuesto",14
"egresados",14
"mejorar",13
"ingreso",13
"diferentes",13
"ingresar",13
"mas",13
"condiciones",13
"importante",13
"arquitectura",13
"cambio",13
"personal",13
"porqué",13
"mayor",13
"educación",13
"docente",13
"académico",13
"productos",13
"gobierno",13
"resultados",13
"presencial",13
"ingeniería",13
"poder",12
"greiff",12
"pasa",12
"buena",12
"grado",12
"solicitar",12
"conocer",12
"pues",12
"bien",12
"ver",12
"experiencia",12
"buen",11
"espacio",11
"trabajo",11
"uso",11
"espacios",11
"falta",11
"además",11
"actualmente",11
"saludo",11
"pagar",11
"caso",11
"universidades",11
"mejor",11
"funcionar",11
"debo",11
"través",11
"pago",11
"planes",11
"actividades",11
"prueba",11
"contingencia",11
"hola",11
"administración",11
"seguir",11
"carreras",11
"infraestructura",11
"tal",11
"automática",11
"bienestar",10
"universitario",10
"cuanto",10
"acciones",10
"ayuda",10
"siempre",10
"inglés",10
"maestría",10
"meses",10
"económica",10
"matricula",10
"cupos",10
"grupos",10
"puedan",10
"primera",10
"dice",10
"conocimiento",10
"etc",10
"correo",10
"acceder",10
"convocatorias",10
"palmira",10
"contratación",10
"garantizar",10
"tema",9
"león",9
"nunca",9
"laboratorio",9
"manejo",9
"mayoría",9
"rectora",9
"misma",9
"pensado",9
"alguna",9
"cordial",9
"podrían",9
"debería",9
"dar",9
"existe",9
"fecha",9
"institución",9
"general",9
"participar",9
"evaluación",9
"virtualidad",9
"pruebas",9
"casos",9
"según",9
"admitidos",9
"estudios",9
"transparencia",9
"piensan",9
"podemos",9
"espera",8
"baños",8
"vez",8
"debemos",8
"demora",8
"nuevos",8
"administrativo",8
"visto",8
"todas",8
"posgrados",8
"sistema",8
"ahora",8
"pasado",8
"ocasionales",8
"económicos",8
"embargo",8
"obras",8
"estudiantil",8
"momentos",8
"movilidad",8
"admisiones",8
"línea",8
"partir",8
"podrá",8
"número",8
"emergencia",8
"podido",8
"encuentra",8
"déficit",8
"descuento",8
"interna",8
"implementar",8
"gustaba",8
"malla",7
"especialmente",7
"cerca",7
"existen",7
"interior",7
"permite",7
"trabajadores",7
"avance",7
"cosas",7
"lado",7
"presencia",7
"social",7
