Medio	Pregunta
Página	Cuándo tendremos una malla vial decente para nuestro campus en Bogotá? es una vergüenza andar en ella, sobre todo en el anillo interno junto a veterinaria y enfermería. Qué tristeza que haya que espera su deterioro al extremo y no seamos un buen ejemplo de campus
Página	Buen día, nuevamente tema malla vial. Es lamentable el estado de la malla vial especialmente en el anillo interno de veterinaria donde se han evidenciado varios accidentes. PREGUNTA: ¿Ya se tiene plan para mejorar tan crítica avenida? Es una vergüenza que dejen deteriorar las avenidas, hasta más no poder.
Página	¿Porque no se ha continuado la reparación de las vías al interior de la universidad en la sede Bogotá? ¿Para qué se paga servicio de vigilancia en las porterías de la universidad, si a pesar de eso los vendedores ambulantes entran al campus y hacen lo que quieren? ¿Por qué no se actualizan los pupitres de los salones y si se arreglan las oficinas de los profesores que nunca se la pasan en ella? ¿Por qué no se obliga a los trabajadores y profesores a permanecer en su puesto de trabajo? ¿Por qué se permite que los obreros en los tractores dañen las zonas verdes y los caminos peatonales? ¿Por qué se recogen los residuos en un tractor con un tanque dañando todos los caminos y zonas verdes por donde pasan? ¿Para qué se tiene una planta de residuos que hace que los salones de agronomía, la hemeroteca y las zonas verdes de cerca a la calle 26 huelan a basura y causen moscas en el vecindario? ¿Porque no se han realizado opciones de incluir capital privado en la adecuación de un espacio de bienestar universitario tipo gimnasio en la zona de la basura cerca de la calle 53? ¿Por qué existen tantos jardineros en la universidad si se la pasan acostados en el prado y cuando cortan el césped dañan y dejan solo barro? ¿para qué se necesita que cada profesor tenga una oficina si permanecen cerradas y no se obliga a atender a los estudiantes? ¿Por qué no se arreglan los baños de la universidad? ¿Por qué se permite el ingreso de cualquier persona al campus, si se cuenta con una empresa de vigilancia? ¿Por qué no se abren los baños del León de Greiff todo el día si hacen parte de una universidad publica, acaso los espectadores del teatro tienen privilegios sobre la comunidad universitaria? ¿Por qué los baños del cuarto piso del edificio nuevo de enfermería permanecen cerrados, acaso existen baños privados en una universidad pública? ¿Porque solo las secretarias pueden entrar al baño de mujeres de la entrada del IEI? ¿Por qué no se construyó la cafetería en el último piso de enfermería, dejando el edificio incompleto durante su construcción? ¿Por qué no se construyen más parqueaderos en el campus, así se cobre por su uso?
Página	Buen día, la malla vial se sigue deteriorando cada día mas y la inversión esta muy lejos de ser utilizada en ese aspecto. El control a los proveedores sobre parqueo y uso de espacios ,el deterioro de la malla vial se les podría restringir como en las zonas industriales, ningún camión debe ingresar al campus que utilicen carritos de carga para las diferentes cafeterías, es mi opinión ,pero nos ayudaría a cuidar la malla vial.Mil gracias.
Página	¿Cuál es el estado de avance del proyecto de edificio para la Facultad de Artes?
Página	Por qué priorizaron la construcción del edificio de ciencias en vez del edificio de Artes que lleva 8 años sin edificaciones dignas
Página	¿Por qué el Vicerrector de la sede Bogotá Jaime Franky Rodríguez es tan reacio a la aprobación para la construcción del edificio de artes? Ya estamos cansados de las condiciones en las que estamos recibiendo clases, mal aislamiento acústico en el polideportivo y en el segundo piso del SINDÚ, ese olor a comida a toda hora, las pésimas condiciones posturales que todos los estudiantes estamos teniendo por cuenta de las clases de hasta 3 horas y las horas que debemos trabajar y seguimos obligados a utilizar esos butacos. ¿Qué pasa con ustedes?¿qué es lo que busca el vicerrector haciéndose del rogar con toda esta situación?¿cómo es posible que a nadie le importe la situación de los estudiantes de la facultad de artes más importante del país? Necesitamos una solución ¿cómo quieren mejorar continuamente si tratan tan mal a los estudiantes que son la razón de ser del alma mater?
Página	Cuales son las razones para no construir el edificio de las artes? Porque tanta demora?
Página	Cuales son las razones por las cuales no se inicia la construcción del edificio para la Artes? Porque tanta demora? Es que las Artes no son importantes para la Universidad Nacional ?
Página	Nosotros los profesores y los estudiantes de arquitectura, diseño industrial, artes plásticas después de más de 7 años, continuamos sin tener edificio para llevar a cabo nuestras labores académicas. Vivimos y trabajamos en condiciones infrahumanas en las ruinas de las bodegas del CAN y en los improvisados salones del polideportivos. Cuales son las razones validas para esta condena que afecta nuestros derechos? Porque tanta indolencia por parte de las directivas de la Universidad? Es que somos ciudadanos de segunda categoría?
Página	Cuales son las razones para no construir el edificio de las artes? Porque tanta demora?
Página	Buen día quería saber qué hace falta para que se empiece la construcción del edificio de Arquitectura que lleva tantos años demolido...
Página	¿Qué está pasando con el edificio de nuevos espacios para las artes?
Página	La UNAL permite el cambio de carrera fácilmente?
Página	Cual es el proceso para ingresas al equipo de fútbol de la universidad?
Página	Porque mi grupo de una de mis asignaturas tiene un grupo diferente al de mis compañeros de carrera siendo de primer semestre?
Página	¿por qué hay corrupcion en los docentes de ingenieria? jaime aleman casas, al regalar las notas. fernando augusto herrera leon, al ser doble con el manejo del laboratorio labe (laboratorio de ensayos electricos industriales fabio chaparro) y francisco javier amortegui, al ser como agresivo con los estudiantes. esos del laboratorio labe, son de lo ordinario, acomplejados e hipocritas, uy! en ingenieria si que se ven muchas cosas feas. y por otro lado por que la mayoria de las secretarias, levitan, y no son funcionari@s y deben servirle a la comunidad universitaria, y a veces son de una rogadera. Uish! de lo peor.
Página	"Yo no sé si hicieron la rendicion en presencia Si no 1. ¿por que no la hicieron? 2. POr que la unal imprime tanto, a veces en libros, propagandas, no es un desperdicio? 3. Cómo es el organigrama de la unal? 4. Cuanto personal de planta tiene la unal? 5. Cuantos estudiantes hay? 6. POr qué no hay carrera de periodismo? 7. Por qué es pública significa que tiene que ser fea, ? por que la planta física deja mucho que desear, a veces sin buena presentación. 8. Por qué se manaja un ambiente tan apagado al interior del campus? 9. Por qué los docentes manejan resentimiento social? 10. Por qué la mayoría de las secretarias son petulantes, pretenciosas y mal educadas para atender a las personas, a mí se me hacen malas funcionarias. 11. Cuánto gana la rectora Dolly, y cuánto ganan los decanos? 12. Por qué no fomentan comités estudiantiles? 13. POr qué no limpian las lámparas del leon de greiff? 14. POr qué dejan prendidas las luces viales de noche; si no andan carros? NO es desperdicio de energía? 15. POr qué no hay cajeros electrónicos al interior de la U? 16. Por qué no cobran arriendo a los vendedores de confiterías de los pasajes y caminos? 17. OPr qué se ve tanta vagancia y pérdidad de tiempo al interior de la U? 18. POr que la u no tiene un laboratorio de investigacion aeroespacial? 19. Por qué no van los ministros a la U? 20. Por qué la U no hace festival de premios que galardonen a los estudiantes (lo que se llamaban izadas de bandera, para motivar)? 21. Cuál es el himno de la U? 22. Si se me ocurren másm, las escribiré. Gracias Att. Ing. Carlos Gómez"
Página	Es la tercera vez que hago este comentario sin respuesta. Sobre la adecuación del edificio Uriel Gutiérrez, ya que tenemos más de 10 años en ruinas y no se nos informa si habrá solución al daño del edificio administrativo de la Universidad.
Página	¿Qué sucede con la restauración del Uriel Gutiérrez? Tenemos más de 1 década en ruinas, diríamos que nos encontramos en peligro quienes laboramos aquí a diario y no se han visto mejoras de ningún tipo.
Página	¿Qué pasa con las edificaciones del Uriel Gutierrez? Estamos prácticamente en ruinas desde hace 15 años y no se han visto acciones de ningún tipo para arreglarlo. El riesgo es muy grande para quienes trabajamos en este edificio.
Página	#LaUNALCuenta ¿Por qué es importante el proceso de rendición de cuentas para la Universidad Nacional de Colombia?
Página	Si aplicó para allá beca equidad y pagué la matrícula, esta misma se reembolsa?
Página	"Mi pregunta es: ¿por qué se escogió específicamente el vehículo del cual hace uso el vicerrector de la Sede Medellín? Teniendo en cuenta que había una Dodge previamente, que esa referencia Toyota Land Cruiser Prado cuesta más de 200 millones de pesos (versión TXL, 30 millones que la versión de menor categoría TX); además de que la Facultad de Minas se compromete a ser un Campus Sostenible. No entiendo."
Página	Por qué no se aplican decididamente las políticas existentes en la Universidad Nacional para prevenir el acoso en todas sus manifestaciones y la vulneración de los derechos fundamentales contra las personas de poblaciones vulnerables y minoritarias como afrocolombianos, discapcitados, indígenas, mujeres y LGBTI?
Página	"¿Cómo se ha avanzado en la llamada ""Transformación Digital UN 2030"" ? y la universidad ¿cómo ha pensado articularse con el Centro para la Cuarta Revolución Industrial inaugurado recientemente en Medellín?"
Página	¿Es cierto que el lote aledaño a la Universidad Nacional de Colombia sede Medellín, sector La Iguaná, en donde actualmente funcionan unos parqueaderos le perteneció o le pertenece a la Universidad? De ser así, ¿Qué se está haciendo para recuperarlo?
Página	"Cordial saludo Me pregunto y, a su vez, cuestiono la labor super-pasiva del encargado de atender las solicitudes y necesidades de la población que presenta algún grado de discapacidad en nuestra sede de la UN en Medellín, puesto que cada semestre hago siempre la solicitud de alguna ayuda o asesoría en este sentido como estudiante en esta condición, pero la respuesta no aparece o se me notifica que ""no disponemos de recursos suficientes"". Pero hablando con otros miembros en igual situación, veo que ellos cuentan casi siempre con dichos recursos en cada semestre. Me parece tan sospechosa esa situación !! Uds. me podrían responder esta inquietud, por favor? Mil gracias."
Página	¿Qué ha hecho la universidad para flexibilizar los horarios de los programas de maestría a la inmensa mayoría que trabaja, de otro lado que estrategias ha adoptado para aumentar el nivel de inglés de los estudiantes de pregrado y posgrado?
Página	Cómo va el proceso de organizar la planta administrativa. Cada día hay más personal por orden de prestación de servicios.
Página	¿ QUE TAN TRANSPARENTE Y CONFIABLE ES ESTA RENDICIÓN DE CUENTAS ?
Página	pueden mejorar el proceso de respuesta a peticiones originadas desde el sistema de quejas y reclamos de la Universidad, en ocasiones anteriores duró una respeusta mas de 4 meses. deberían mejorar la atención a público en la oficina de posgrados en derecho (oficina 1029) puesto que muchas veces no cuentan con la información adecuada, se extrañan a los anteriores asesores.
Página	La universidad en su rendición del cuentas debería contar que acciones va a hacer para desradicalizar a las personas que hacen parte de sus tres estamentos y evitar la violencia en la protesta. Que se pensaría siguen manifestando de manera violenta a pesar del proceso de paz y del reconocimiento del inmenso daño que ha causado la violencia en el país. Para la muestra el cierre de la universidad hoy 22/11/19 debido a los disturbio del dia de ayer.Considero que se debe hacer algo más que escuetos comunicados por parte de la rectoría para cambiar el comportamiento violento de algunos.
Página	Mi pregunta es por qué se permite tanta demora en evaluar la tesis por parte de los jurados , a pesar de la reglamentacióen que existe unos tiempos establecidos para dar concepto. Eso perjudica enormente al estudiante me acuerdo que en mi tesis de maestría en epidemiología los jurados se tomaron un semestre y un poco más en evaluar la tesis. Teniendo yo que pagar un semestre adicional por la demora de ellos. Ahora con la crisis sanitaria y económica por el COVID-19 NO es justo que la universidad permita este tipo de conductas que perjudica al estamento más vulnerable en la comunidad como son los estudiantes. Máximo cuando los jurados son docentes de la misma univesidad
Página	Ha aumentado en aporte de recursos que da el estado a las universidades públicas, en nuestro caso a la Universidad Nacional?
Página	Cuando presenta la renuncia el director de TI de la Universidad o en su defecto el director de la otic por la inoperancia del sia
Página	Porqué en la UN se construyen edificios? Se sabe la ocupación de cada aula de la Universidad, cada hora del día y cada día de la semana?
Página	La construcción de edificios en la UN responde a algún PLAN DE gestión ambiental?
Página	¿Pasado el 30 dr Abril puedo cancelar materias con el formato o carta de cancelacion?
Página	"Se supone que todos los cambios están soportados sobre la idea de mejoramiento; o al menos esa es la lógica. Mi pregunta es ¿Cuáles son los mejoramientos que soportaron el cambio de la plataforma SIA, cuánto costaron y si el costo/beneficio es significativo? Me gustaría que me respondieran esta pregunta con datos concretos y no con preguntas campeadoras burocráticas... Muchísimas gracias,"
Página	Cuando habilitarán la biblioteca? Nos urge un lugar donde estudiar tranquilamente. Y si tiene tableros en donde practicar ecuaciones, mucho mejor, gracias.
Página	Buenas tardes, Repetidas veces he solicitado información acerca de cual es la estrategia para subsanar la eliminación del Programa Lea en la UN y COMFIE. Aprovecho este espacio para volver a solicitar información detallada sobre el plan de acción de la Universidad para reemplazar los programas.
Página	Buenos días, Me gustaría saber la razón por la que la Universidad les dará un incentivo a los trabajadores de 400 mil pesos anuales y la razón del por qué los representantes en la mesa exigen que sea solo para los trabajadores sindicalizados. Ese dinero adicional, con la crisis de la Universidad no podrìa destinarse a proyectos de mayor urgencia¿?.
Página	Me gustaría saber cuál es el riesgo de que las antenas de celular instaladas a lo largo de la Universidad, especialmente, la que queda en frente del LIQ de funcionar como pararayos. Y conocer el motivo por el que se contrato ese diseño poco atractivo.
Página	¿Se pueden organizar torneos en la universidad?
Página	Creo que lo fundamental en la rendicióin de cuentas está en los indicadores desde el progama y su cumplimiento y cobertura. Ello no siempre es tan claro. Suele verse como la promoción de aspectos que cosideran apropiados para campaña. No a la disminución o desaparición de problemáticas.
Página	¿Cuando será el proceso de rendición de cuentas de la sede La Paz?
Página	Mi inquietud es con respecto a como el sia se convirtió en una plataforma omnipresente que tiene más incidencia sobre los procesos académicos que los mismos actores de ellos. Es decir, será posible que algún día, deje de ser un espacio constrictivo para convertirse en una plataforma que respeta los procesos académicos.
Página	¿Qué beneficios obtienen las entidades al realizar sus procesos de rendición de cuentas con enfoque basado en educación superior?
Página	Tiene la dirección de la Universidad, la voluntad real de apoyar la construcción del nuevo edificio para las Artes, y posibilitar que el trabajo de los estudiantes y docentes se lleve a cabo en condiciones dignas?
Página	¿Cuántos profesores ocasionales hubo en la sede medellín en el año 2019? ¿Cuántas horas de clase dictaron esos profesores?
Página	¿Pasa algo grave si pierdo una nivelatoria como lecto-escritura o matematicas basicas?
Página	Reciban un cordial saludo, quisiera saber que estrategias se están considerando para aumentar la planta docente, en la facultad de artes, ya que en Diseño Industrial tenemos aprox. 30 docentes por 500 estudiantes, mas algunos ocasionales o becarios que son menos de diez, y tenemos un grave problema de relevo generacional y materias que no han sido ofertadas a causa de la falta de docentes.
